node_1|node_2|edge|chunk_id|node_ 1|Edge
one health|collaborative, multisectoral, transdisciplinary approach|Encourages|f907599a09644db7ae6534847f11b19a||
one health|local, regional, national, and global levels|Applies at|f907599a09644db7ae6534847f11b19a||
one health|people, animals, plants, and their interconnection|Recognises|f907599a09644db7ae6534847f11b19a||
oh concept|policy, advocacy, financing, organisational development, data, evidence, and knowledge|focused on providing sustainable and long-lasting results at all levels|dcccb60ee13a48b49d3e99676789581c||
oh concept|priority health issues|world’s urgent attention|dcccb60ee13a48b49d3e99676789581c||
antimicrobial resistance (amr)|human health, food security, and development|one of the greatest threats to|dcccb60ee13a48b49d3e99676789581c||
who|amr as one of the top 10 global public health threats|declared|dcccb60ee13a48b49d3e99676789581c||
amr|nearly 10 million deaths by 2050, global economy cost between us$11–444 million|by 2050|dcccb60ee13a48b49d3e99676789581c||
amr|increased drug exposure|causes|dbd06533e0f8426bb5c48add38e4a7af||
amr|misuse or overuse of antimicrobials|cause|dbd06533e0f8426bb5c48add38e4a7af||
amr|multiplication of pathogens due to unhygienic water and poor sanitation processes|cause|dbd06533e0f8426bb5c48add38e4a7af||
amr|inadequate infection prevention and control measures in hospitals and healthcare settings|cause|dbd06533e0f8426bb5c48add38e4a7af||
amr|use of antibiotics in the farming, livestock, and fisheries sectors|cause|dbd06533e0f8426bb5c48add38e4a7af||
amr|close contact with animals and contamination of soil and water with these microbes|cause|dbd06533e0f8426bb5c48add38e4a7af||
amr|exposure to drug-resistant tuberculosis, hiv infections, and specific amrs such as artemisinin-based combination therapy-resistance in malaria treatment, and antileprotic drug resistance|causes|dbd06533e0f8426bb5c48add38e4a7af||
amr|managing serious infections in children and adults alongside any surgical intervention|challenge|dbd06533e0f8426bb5c48add38e4a7af||
amr|global health system is already exposed to drug-resistant diseases|exposed|dbd06533e0f8426bb5c48add38e4a7af||
amr|zoonotic diseases and 75 percent of them originating from animals|cause|dbd06533e0f8426bb5c48add38e4a7af||
urbanisation|destruction of natural habitats of animals|leads to increase interaction between animals, animal products and humans|2f884a037acc49378eeae7a7fb414b1e||
urbanisation|illegal trade in wildlife|contributes to zoonotic spillover|2f884a037acc49378eeae7a7fb414b1e||
urbanisation|wet markets|increases the risk of zoonotic disease|2f884a037acc49378eeae7a7fb414b1e||
zoonotic infections|humans|established in humans|2f884a037acc49378eeae7a7fb414b1e||
urbanisation|food-borne zoonotic diseases|can be prevented through proper handling of meat, eggs, dairy, and vegetables|2f884a037acc49378eeae7a7fb414b1e||
one health|zoonotic infectious diseases|approach|cde4a7c94f2f4ca8bd465e9272856a9b||
awareness|prevention and risk reduction strategies|strategies|cde4a7c94f2f4ca8bd465e9272856a9b||
investing|interdisciplinary approaches|including OH perspectives|cde4a7c94f2f4ca8bd465e9272856a9b||
research|complex social, economic, and ecological dimensions of diseases|to explore|cde4a7c94f2f4ca8bd465e9272856a9b||
monitoring|food systems|from farm to fork|cde4a7c94f2f4ca8bd465e9272856a9b||
biosecurity and zoonoses-control measures|industrial and disadvantaged smallholder farmers and herders|for both|cde4a7c94f2f4ca8bd465e9272856a9b||
supporting|agricultural and wildlife habitats|by managing landscapes and seascapes collectively|cde4a7c94f2f4ca8bd465e9272856a9b||
promoting|agro-ecological methods of food production|mitigating waste and pollution|cde4a7c94f2f4ca8bd465e9272856a9b||
biodiversity|government and private-sector planning, decision-making, and capacity building|during|cde4a7c94f2f4ca8bd465e9272856a9b||
global early warning and response system for major animal diseases|combating zoonoses to coordinate risk assessment and assist in early warning, prevention, and control of disease threats|established by WHO, FAO, and WOAH|cde4a7c94f2f4ca8bd465e9272856a9b||
vector-borne diseases|diseases||cde4a7c94f2f4ca8bd465e9272856a9b||
combat zoonoses|coordinate risk assessment|to assist in|ff8f20fb0aac4191b052993d77f15999||
combat zoonoses|early warning, prevention, and control of disease threats|to coordinate|ff8f20fb0aac4191b052993d77f15999||
vector-borne diseases|determining demographic factors|related to|ff8f20fb0aac4191b052993d77f15999||
vector-borne diseases|environmental factors|related to|ff8f20fb0aac4191b052993d77f15999||
vector-borne diseases|social factors|related to|ff8f20fb0aac4191b052993d77f15999||
distribution of vector-borne diseases|global travel|affected by|ff8f20fb0aac4191b052993d77f15999||
distribution of vector-borne diseases|trade|affected by|ff8f20fb0aac4191b052993d77f15999||
distribution of vector-borne diseases|unplanned urbanisation|affected by|ff8f20fb0aac4191b052993d77f15999||
who's global vector control response (gvcr) 2017–2030|strengthening vector-control programmes|provides strategic guidance to countries for|ff8f20fb0aac4191b052993d77f15999||
water-borne diseases|contaminated water|cause|c28f27b2026346d8b1c25d3ac4fb35f1||
water-borne diseases|faecal-contaminated water|consumed by|c28f27b2026346d8b1c25d3ac4fb35f1||
faecal-contaminated water|global population|affecting|c28f27b2026346d8b1c25d3ac4fb35f1||
water-borne diseases|cholera, dysentery, typhoid, polio|caused by|c28f27b2026346d8b1c25d3ac4fb35f1||
water-borne diseases|around 485,000 deaths annually|resulting in|c28f27b2026346d8b1c25d3ac4fb35f1||
food-borne diseases|over 200 diseases|caused by|c28f27b2026346d8b1c25d3ac4fb35f1||
food-borne diseases|contaminated food|consumption of|c28f27b2026346d8b1c25d3ac4fb35f1||
globally, 600 million people are affected|420,000 deaths annually|caused by|c28f27b2026346d8b1c25d3ac4fb35f1||
safe and nutritious food|promoting good health|key to sustaining|c28f27b2026346d8b1c25d3ac4fb35f1||
one health|who, fao, unep, woah|signed a memorandum of understanding|c28f27b2026346d8b1c25d3ac4fb35f1||
one health|quadripartite collaboration for one health|forming the|c28f27b2026346d8b1c25d3ac4fb35f1||
quadripartite collaboration for one health|who, fao, unep, woah|consists of|c28f27b2026346d8b1c25d3ac4fb35f1||
one health|animal and public health risks|aiming to prevent, detect, contain, eliminate and respond to|c28f27b2026346d8b1c25d3ac4fb35f1||
food security|multi-sectoral cooperation|through|3eb3f6d6d48542a68f240d92f26cae0b||
one health high-level expert panel|quadripartite|advisory group to the|3eb3f6d6d48542a68f240d92f26cae0b||
first one health joint plan of action (2022-2026)|combat health risks|at the human–animal–environment interface|3eb3f6d6d48542a68f240d92f26cae0b||
quadripartite|all countries|urged to translate the OH approach|3eb3f6d6d48542a68f240d92f26cae0b||
oh approach|policy actions|by promoting and increasing investment in intersectoral health governance|3eb3f6d6d48542a68f240d92f26cae0b||
countries|national oh policies|adopt|3eb3f6d6d48542a68f240d92f26cae0b||
research institutions|improved genomic surveillance and data-sharing practices|encouraged to work on|3eb3f6d6d48542a68f240d92f26cae0b||
academic courses on oh|workforce|train and equip|3eb3f6d6d48542a68f240d92f26cae0b||
one health|pandemic prevention and preparedness|similar approach|acb5a4d42cd747a5bb0bf5035f6a2d56||
world bank fund for pandemic prevention|one health approach|Utilized for operationalising|acb5a4d42cd747a5bb0bf5035f6a2d56||
un high-level meeting on pandemic|one health agenda integration|during planning session|acb5a4d42cd747a5bb0bf5035f6a2d56||
world bank's required amount for oh implementation|annual global allocation|Needed for implementation|acb5a4d42cd747a5bb0bf5035f6a2d56||
lack of centralized oh funding|relevant ministries responsibilities|Affecting strategy development|acb5a4d42cd747a5bb0bf5035f6a2d56||
world health organization|existing gaps in one health approach implementation|Identified by|acb5a4d42cd747a5bb0bf5035f6a2d56||
databases and knowledge-sharing resources|effective information exchange|Affected by|acb5a4d42cd747a5bb0bf5035f6a2d56||
best practice examples|encouraging one health initiatives|Shown to promote|acb5a4d42cd747a5bb0bf5035f6a2d56||
oh workforce mapping and generation|strengthening capacity|Involves|acb5a4d42cd747a5bb0bf5035f6a2d56||
integrated one health surveillance system development|establishing routine and emergency coordination mechanisms|Related to|acb5a4d42cd747a5bb0bf5035f6a2d56||
stakeholder communication|standardized framework for addressing zoonotic spillover|Involves|acb5a4d42cd747a5bb0bf5035f6a2d56||
stakeholders|standardised framework|creating|54b6a818f27a4747bc848ce2b3fca069||
standardised framework|zoonotic spillover risks|addressing|54b6a818f27a4747bc848ce2b3fca069||
zoonotic spillover risks|animal trade, agriculture, livestock farming|related to|54b6a818f27a4747bc848ce2b3fca069||
standardised framework|urbanisation and habitat fragmentation|addressing|54b6a818f27a4747bc848ce2b3fca069||
urbanisation and habitat fragmentation|spillover risks and disease spread|related to|54b6a818f27a4747bc848ce2b3fca069||
standardised framework|trade-offs, co-benefits|identifying spillover risks and disease spread|54b6a818f27a4747bc848ce2b3fca069||
g20 countries|improving global health|role|54b6a818f27a4747bc848ce2b3fca069||
g20 countries|world's largest economies|reason|54b6a818f27a4747bc848ce2b3fca069||
g20 countries|global population|home to|54b6a818f27a4747bc848ce2b3fca069||
g20 countries|non-communicable diseases|contribute to|11443940fbd24182af4b70641327ab56||
g20 countries|co2 emissions|account for|11443940fbd24182af4b70641327ab56||
india|one health approach|initiated under the office of Principal Scientific Adviser (PSA)|11443940fbd24182af4b70641327ab56||
one health approach|integrated disease control|aims to increase pandemic preparedness|11443940fbd24182af4b70641327ab56||
india|early warning system|established for endemic and emerging epidemic threats|11443940fbd24182af4b70641327ab56||
one health approach|integrated surveillance systems|aims to develop|11443940fbd24182af4b70641327ab56||
india|outbreak investigation mechanisms|implemented|11443940fbd24182af4b70641327ab56||
one health approach|r&d for critical tools|aims to develop|11443940fbd24182af4b70641327ab56||
india|data and database integration|aims for better information sharing|11443940fbd24182af4b70641327ab56||
one health|zoonotic diseases control and prevention|Approach|95e9919de1de4544bc48124bd30a8a42||
oh approach|zonotic disease control and prevention barriers|Operationalised|95e9919de1de4544bc48124bd30a8a42||
oh approach in india|contextual adaptation|Requires|95e9919de1de4544bc48124bd30a8a42||
existing interpersonal relationships|fostering informal collaborations|Focus|95e9919de1de4544bc48124bd30a8a42||
intersectoral coordination|veterinary workforce, academic institutions, local population|Requires|95e9919de1de4544bc48124bd30a8a42||
sars-cov2 vaccine trial|tamil nadu veterinary and animal sciences university|Collaboration|95e9919de1de4544bc48124bd30a8a42||
sars-cov2 vaccine trial|tamil nadu veterinary and animal sciences university|signed a pact with|ba6d12617e9d4d3da1a5a071f7087ae7||
tamil nadu dr mgr medical university|conducted joint academic and research activities|for conducting the SARS-CoV2 vaccine trial|ba6d12617e9d4d3da1a5a071f7087ae7||
outbreak investigation in punjab|community health workers|actively participated|ba6d12617e9d4d3da1a5a071f7087ae7||
non-government organisations|auxiliary nursing midwives, accredited social health activists (ashas) and village leaders|actively participated|ba6d12617e9d4d3da1a5a071f7087ae7||
pandemic prevention, preparedness, response|implementing the oh approach|will enhance|ba6d12617e9d4d3da1a5a071f7087ae7||
oh approach|strengthen systems and cross-sectoral capacities|allowing for co-design and implementation|ba6d12617e9d4d3da1a5a071f7087ae7||
inclusive and equitable multi-level workplans and strategies|oh principles|in line with|ba6d12617e9d4d3da1a5a071f7087ae7||
harmonised oh tools, technologies, and practices|develop, disseminate, and utilise improved|integrate data and knowledge|ba6d12617e9d4d3da1a5a071f7087ae7||
global health|pathways to health equity for the g20|Theme|763c7ccbb18c440fae959857c92fe260||
infectious diseases|better surveillance systems|Prevention method|763c7ccbb18c440fae959857c92fe260||
organisations|collaboration between organisations|Improvement method|763c7ccbb18c440fae959857c92fe260||
india's g20 theme|global collaboration and solidarity|Concept|763c7ccbb18c440fae959857c92fe260||
global collaboration and solidarity|live harmoniously with nature|Connection|763c7ccbb18c440fae959857c92fe260||
global collaboration and solidarity|ensure health and well-being for all people, everywhere|Goal|763c7ccbb18c440fae959857c92fe260||
dr soumya swaminathan|chairperson, ms swaminathan research foundation|Position|763c7ccbb18c440fae959857c92fe260||
dr soumya swaminathan|former chief scientist, world health organization|Previous Position|763c7ccbb18c440fae959857c92fe260||
dr priyadarshini rajamani|consultant with the ms swaminathan research foundation|Position|763c7ccbb18c440fae959857c92fe260||
technology|human existence|Permeates|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|healthcare|Impacted|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|medical devices|Developed|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|telemedicine|Enabled|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|electronic health records|Supported|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|artificial intelligence|Powered|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|wearable devices and health apps|Empowered|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|medical research|Advanced|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|new treatments|Discovered|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|healthcare outcomes|Improved|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|digital health ecosystem|Enabled|d2a4917ce8cf48d69608d55e8bdeefd7||
technology|covid-19 pandemic|Growth of Digital Health|d2a4917ce8cf48d69608d55e8bdeefd7||
equitable access to healthcare services|india's massive population|challenge|e645ea793f2148328e415470d8fad8f1||
digital health|technology|harnessing power to address challenges|e645ea793f2148328e415470d8fad8f1||
digital platforms|convenient access to care|bridge gaps and improve healthcare delivery|e645ea793f2148328e415470d8fad8f1||
indian government|electronic health record1 standards in 2016|notified|e645ea793f2148328e415470d8fad8f1||
national health policy|digital health technology ecosystem|envisions creation of|e645ea793f2148328e415470d8fad8f1||
digital india initiative|standardised electronic health records|interoperable and standardised|e645ea793f2148328e415470d8fad8f1||
national health policy|improves efficiency, transparency, and citizens' experiences across public and private healthcare|improve|e645ea793f2148328e415470d8fad8f1||
india|progress in digital healthcare delivery|demonstrated|e645ea793f2148328e415470d8fad8f1||
health management information system|integrated health information platform|both are health informatics systems|4e39f83a77424bd29d01a053be2e9e24||
non-communicable diseases screening application|health management information system|application is part of the HMIS|4e39f83a77424bd29d01a053be2e9e24||
ayushman bharat pradhan mantri jan arogya yojana (ab-pmjay)|future-ready digital health system|is a major part of the future-ready digital health system|4e39f83a77424bd29d01a053be2e9e24||
ayushman bharat pradhan mantri jan arogya yojana (ab-pmjay)|india’s flagship programme|is a part of India's flagship programme|4e39f83a77424bd29d01a053be2e9e24||
ayushman bharat pradhan mantri jan arogya yojana (ab-pmjay)|healthcare more affordable and accessible|aims to make healthcare more affordable and accessible|4e39f83a77424bd29d01a053be2e9e24||
operationalising 1.5 lakh health and wellness centres|ayushman bharat pradhan mantri jan arogya yojana (ab-pmjay)|are part of the mission envisioned by AB-PMJAY|4e39f83a77424bd29d01a053be2e9e24||
telemedicine consultation services|health and wellness centres|provide telemedicine consultation services|4e39f83a77424bd29d01a053be2e9e24||
accelerating global health|pathways to health equity for the g20|initiative|89b3b356103448bfa7a2ae333c705bc5||
financial protection|up to inr 500,000 per family annually|provided for|89b3b356103448bfa7a2ae333c705bc5||
crore poor and vulnerable families|bottom 40 percent of the indian population|comprise|89b3b356103448bfa7a2ae333c705bc5||
wellness-oriented approach|illness-focused one|instead of|89b3b356103448bfa7a2ae333c705bc5||
universal health coverage (uhc)|patient data portability|towards achieving|89b3b356103448bfa7a2ae333c705bc5||
environment without financial hardship or excessive indirect costs|obtain health services anywhere in the country|translates into|89b3b356103448bfa7a2ae333c705bc5||
rethinking core technology backbone|leverage cutting-edge digital solutions|requires us to|89b3b356103448bfa7a2ae333c705bc5||
single framework|interoperability of data|aims to achieve|89b3b356103448bfa7a2ae333c705bc5||
national digital health blueprint|ayushman bharat digital mission (abdm)|as a framework for|89b3b356103448bfa7a2ae333c705bc5||
efficient implementation of digital health treatments|national digital health mission|now known as|89b3b356103448bfa7a2ae333c705bc5||
national digital health mission|ayushman bharat digital mission (abdm)|is now known as|728cd64802bb4f528a5671ab9a58f407||
six union territories|august 2020|launched in|728cd64802bb4f528a5671ab9a58f407||
six key components|national digital health mission|Proposed to be carried out via|728cd64802bb4f528a5671ab9a58f407||
telemedicine|e-pharmacy|are part of the six key components|728cd64802bb4f528a5671ab9a58f407||
digital health infrastructure|ayushman bharat digital mission (abdm)|Intends to create the framework needed to enable an integrated|728cd64802bb4f528a5671ab9a58f407||
personal health records|digital highways|will bridge the existing gap amongst different stakeholders of the healthcare ecosystem through|728cd64802bb4f528a5671ab9a58f407||
14-digit ayushman bharat account (abha) number|every citizen|Will be provided with|728cd64802bb4f528a5671ab9a58f407||
abhaa numbers|created health records|Related to|658d7809791142b1bfd0ba47c57bfbbd||
over 435 million abhaa numbers|july 2023|Time frame of|658d7809791142b1bfd0ba47c57bfbbd||
abdm ecosystem|registered health facilities and doctors|includes|658d7809791142b1bfd0ba47c57bfbbd||
abdm has accelerated|various stakeholders of healthcare ecosystem|resulted in|658d7809791142b1bfd0ba47c57bfbbd||
patient-centric policies|improved access to care|leading to|658d7809791142b1bfd0ba47c57bfbbd||
abdm|complex healthcare structure in india|applicable for|658d7809791142b1bfd0ba47c57bfbbd||
india demands agility, flexibility, and evidence-based smart policymaking|implementation of healthcare initiatives|requires|658d7809791142b1bfd0ba47c57bfbbd||
health-seeking behaviours with renewed energy|driving all stakeholders|encouraged by|658d7809791142b1bfd0ba47c57bfbbd||
india government|management of the pandemic|focused on|658d7809791142b1bfd0ba47c57bfbbd||
issued telemedicine practice guidelines|amid the pandemic|in response to|658d7809791142b1bfd0ba47c57bfbbd||
pandemic|ease access to digital consultations|cause|e7422980e3274bdd888d03252996f332||
india|telemedicine practice guidelines|issued by|e7422980e3274bdd888d03252996f332||
march 2020|esanjeevaniopd|launched in|e7422980e3274bdd888d03252996f332||
esanjeevaniopd|world’s largest national telemedicine service|is a|e7422980e3274bdd888d03252996f332||
esanjeevaniopd|online health facilities to patients|provides|e7422980e3274bdd888d03252996f332||
no cost|ensure continuum of care|for|e7422980e3274bdd888d03252996f332||
esanjeevani initiative|bridging the digital divide in india|instrumental in|e7422980e3274bdd888d03252996f332||
rural areas|access to healthcare is limited|particularly in|e7422980e3274bdd888d03252996f332||
esanjeevani initiative|completed 142 million consultations|has completed|e7422980e3274bdd888d03252996f332||
esanjeevani initiative|currently serving around 400,000 patients every day|as of 27 July 2023|e7422980e3274bdd888d03252996f332||
covid-19|digital health system|used for tracking and management|77ee5dafaf88492baeedba46dc96add6||
cowin|vaccinations|Platform for administering vaccines|77ee5dafaf88492baeedba46dc96add6||
digital platforms|covid-19 war rooms|Allowed data-driven decisions|77ee5dafaf88492baeedba46dc96add6||
covid-19 india portal|disease tracking and demand prediction|By geography, inventory tracking, and case-loads|77ee5dafaf88492baeedba46dc96add6||
aarogya setu|covid-19 tracking and contact tracing|Using smartphone's GPS and Bluetooth features|77ee5dafaf88492baeedba46dc96add6||
rt-pcr app|sample collection|Hand-held tool for countrywide use|77ee5dafaf88492baeedba46dc96add6||
covid-19 facility app|health system stakeholder management||77ee5dafaf88492baeedba46dc96add6||Allowing communication and coordination among stakeholders
covid-19 facility app|health system stakeholders|allows up to|bc7f62f18fed4b8a97382c0aec77ea70||
health system stakeholders|district level|to track the state and management of patients|bc7f62f18fed4b8a97382c0aec77ea70||
national public health observatory (npho)|india|has established|bc7f62f18fed4b8a97382c0aec77ea70||
national public health observatory (npho)|real-time monitoring and analysis of various data points|for informed decision-making|bc7f62f18fed4b8a97382c0aec77ea70||
npho|comprehensive monitoring of health systems|including overall healthcare service delivery,|bc7f62f18fed4b8a97382c0aec77ea70||
npho|integration of healthcare programmes|and transformation of the healthcare situation in the country|bc7f62f18fed4b8a97382c0aec77ea70||
ai in healthcare|improved healthcare services and patient management|used to support|2daf7051ab3742f9b7751844dc2a9e37||
indian government|centres of excellence for ai|established in three places|2daf7051ab3742f9b7751844dc2a9e37||
clinical decision support system|generative ai|a multilingual solution to provide diagnostic and triaging support|2daf7051ab3742f9b7751844dc2a9e37||
event-based disease surveillance|digital media in 10 indian languages|monitors for impending disease outbreaks|2daf7051ab3742f9b7751844dc2a9e37||
ai assistant for frontline workers|eleven indian languages|enables and empowers healthcare workers to ask questions|2daf7051ab3742f9b7751844dc2a9e37||
saksham portal|tele-education|benefitted all fields of education, including Healthcare.|2daf7051ab3742f9b7751844dc2a9e37||
tele-education|medical education|Benefitted|2aba8c3477ef41a690f6b92cb7aa831d||
limited access|remote areas|For|2aba8c3477ef41a690f6b92cb7aa831d||
qualified teachers|students in remote areas|Deprived Of|2aba8c3477ef41a690f6b92cb7aa831d||
geographical location|students previously deprived of quality education|Facilitated Learning for|2aba8c3477ef41a690f6b92cb7aa831d||
government|developed saksham platform|Keeping Vision in Mind|2aba8c3477ef41a690f6b92cb7aa831d||
advanced training|health professionals|Enable|2aba8c3477ef41a690f6b92cb7aa831d||
unified and dedicated online learning platform|saksham portal|To Enable Health Professionals to Receive Advanced Training Without Any Disruption in Their Regular Jobs|2aba8c3477ef41a690f6b92cb7aa831d||
public health|more than 200 courses on|Hosted by SAKSHAM Portal|2aba8c3477ef41a690f6b92cb7aa831d||
clinical practices|150 courses on|Hosted by SAKSHAM Portal|2aba8c3477ef41a690f6b92cb7aa831d||
digital health|national digital health ecosystem|Creation|b38388979c9e43c88e5a5d68a1d37391||
india|championing digital health|Promoting|b38388979c9e43c88e5a5d68a1d37391||
world health assembly|digital health resolution|Tabling|b38388979c9e43c88e5a5d68a1d37391||
member states of who|unanimously adopted|Adoption|b38388979c9e43c88e5a5d68a1d37391||
department for digital health and innovation|established by who|Creation|b38388979c9e43c88e5a5d68a1d37391||
global strategy on digital health 2020-2025|published by who|Publication|b38388979c9e43c88e5a5d68a1d37391||
global strategy on digital health|digital health|created|484e082ae5c04d178affe983e61dfcc6||
india|chair of the global digital health partnership (gdhp)|served as|484e082ae5c04d178affe983e61dfcc6||
global digital health partnership (gdhp)|world's largest intergovernmental and multilateral forum on digital health|is|484e082ae5c04d178affe983e61dfcc6||
india|g20 presidency|leadership|484e082ae5c04d178affe983e61dfcc6||
india's g20 presidency|global health initiatives|set|484e082ae5c04d178affe983e61dfcc6||
climate change|21st century's greatest challenges|such as|484e082ae5c04d178affe983e61dfcc6||
food insecurity|21st century's greatest challenges|the threat of|484e082ae5c04d178affe983e61dfcc6||
future pandemics|global systems|preventing and preparing for health emergencies|b51b0fd9a2f14d859d03e650b46b801e||
g20 health working group|global health initiatives|catalyse and enervate|b51b0fd9a2f14d859d03e650b46b801e||
prevention, preparedness, response to health emergencies|anti-microbial resistance|focus on|b51b0fd9a2f14d859d03e650b46b801e||
health ministers’ meeting|priorities|discussed|b51b0fd9a2f14d859d03e650b46b801e||
pharmaceutical sector|availability and access to safe, effective, quality, and affordable medical countermeasures|strengthening cooperation|b51b0fd9a2f14d859d03e650b46b801e||
digital health innovations and solutions|universal health coverage|aid universal health coverage|b51b0fd9a2f14d859d03e650b46b801e||
india’s g20 presidency|digital health space|aim to leverage and develop|b51b0fd9a2f14d859d03e650b46b801e||
global initiative on digital health (gidh)|world health organization (who)|managed by|f59eb11a1aac414eb8c4fd10a67fc2e5||
india's g20 presidency|global initiative on digital health (gidh)|aimed to bring under the umbrella|f59eb11a1aac414eb8c4fd10a67fc2e5||
projects|digital health products|developing|f59eb11a1aac414eb8c4fd10a67fc2e5||
billions of dollars|projects|spending|f59eb11a1aac414eb8c4fd10a67fc2e5||
similar aspects|digital health products|working on|f59eb11a1aac414eb8c4fd10a67fc2e5||
worldwide efforts|global initiative on digital health (gidh)|converging|f59eb11a1aac414eb8c4fd10a67fc2e5||
who norms, standards, and|coordinated engagements and implementation|aligned with|f59eb11a1aac414eb8c4fd10a67fc2e5||
accelerating global health|pathways to health equity for the g20|areas of focus in a report|3e8b619797c14053812ade71b8f1d710||
digital transformation|allocating resources|method for implementing change|3e8b619797c14053812ade71b8f1d710||
pandemic|quick adoption of digital health|event causing rapid change|3e8b619797c14053812ade71b8f1d710||
integrated health systems|focused on patient-centred care|objective for a modern healthcare approach|3e8b619797c14053812ade71b8f1d710||
improving health outcomes|making the best use of resources|goals for utilizing digital health|3e8b619797c14053812ade71b8f1d710||
india’s digital health initiatives|global commitment to health equity|example for global reference|3e8b619797c14053812ade71b8f1d710||
abdm|cowin|India’s digital health initiatives|3e8b619797c14053812ade71b8f1d710||
esanjeevani|integration of technology-informed models|another Indian initiative|3e8b619797c14053812ade71b8f1d710||
lav agarwal|ehealth, international health & collaboration, public health, and g20|positions held at the Ministry of Health and Family Welfare, Government of India|3e8b619797c14053812ade71b8f1d710||
digital india programme|establishing secure digital infrastructure|part of|f1acb3a152d842edb93b59c44e1a1a29||
digital india programme|digital services delivery|part of|f1acb3a152d842edb93b59c44e1a1a29||
digital india programme|internet access for every citizen|part of|f1acb3a152d842edb93b59c44e1a1a29||
india|technology users increase|benefit from|f1acb3a152d842edb93b59c44e1a1a29||
india|digital technology initiatives|initiator of|f1acb3a152d842edb93b59c44e1a1a29||
india|robust dpi creation|beneficiary of|f1acb3a152d842edb93b59c44e1a1a29||
robust dpi creation|inclusive growth|enables|f1acb3a152d842edb93b59c44e1a1a29||
robust dpi creation|economic development|enables|f1acb3a152d842edb93b59c44e1a1a29||
robust dpi creation|improved governance|enables|f1acb3a152d842edb93b59c44e1a1a29||
countries around the world|india's experience learning|from|f1acb3a152d842edb93b59c44e1a1a29||
india enterprise architecture (indea)|ministry of electronics and information technology (meity)|created|844ace5971524f39856818d72304f7c9||
india enterprise architecture (indea)|whole-of-government enterprise architecture|adoption|844ace5971524f39856818d72304f7c9||
india enterprise architecture (indea)|central ministries, state departments, and public sector enterprises|implemented by|844ace5971524f39856818d72304f7c9||
india enterprise architecture (indea)|performance|focus on|844ace5971524f39856818d72304f7c9||
india enterprise architecture (indea)|open standards|promote interoperability|844ace5971524f39856818d72304f7c9||
india enterprise architecture (indea)|decentralisation|supports|844ace5971524f39856818d72304f7c9||
india enterprise architecture (indea)|new and legacy e-governance initiatives|supports|844ace5971524f39856818d72304f7c9||
india enterprise architecture (indea)|virtualisation of departments|concept of|844ace5971524f39856818d72304f7c9||
data empowerment and protection architecture (depa)|increased generation of data|resulting from|844ace5971524f39856818d72304f7c9||
data empowerment and protection architecture (depa)|data protection and ownership|addressing|844ace5971524f39856818d72304f7c9||
data empowerment and protection architecture (depa)|user control over data|ensures|844ace5971524f39856818d72304f7c9||
data empowerment and protection architecture (depa)|consent-governed and secure data-sharing|suggests measures for|844ace5971524f39856818d72304f7c9||
data empowerment and protection architecture (depa)|bilateral databases|eliminates need for|844ace5971524f39856818d72304f7c9||
data empowerment and protection architecture (depa)|citizens control over data|enables|844ace5971524f39856818d72304f7c9||
depa|techno-legal solution|used in|2744d84fd22b428182e2ad368b01f58e||
depa|finance sector|applied in|2744d84fd22b428182e2ad368b01f58e||
depa|empowers individuals|enables|2744d84fd22b428182e2ad368b01f58e||
depa|loans, insurance, financial products|allows to get at competitive rates|2744d84fd22b428182e2ad368b01f58e||
depa|digital footprint|uses for data sharing|2744d84fd22b428182e2ad368b01f58e||
depa|works closely with india stack4|collaborates with|2744d84fd22b428182e2ad368b01f58e||
india stack|e-kyc, upi, aadhaar-based esign, open credit enablement network|components of|2744d84fd22b428182e2ad368b01f58e||
india stack|digital infrastructure|enables the establishment of|2744d84fd22b428182e2ad368b01f58e||
india stack|design to improve private sector service delivery|focuses on|2744d84fd22b428182e2ad368b01f58e||
india|digital library|has become a digital library in|2744d84fd22b428182e2ad368b01f58e||
india|global goods, learnings|offers to the world|2744d84fd22b428182e2ad368b01f58e||
accelerating global health|pathways to health equity for the g20|is related to|8507704c71af4046b36f3348692ead0d||
digital public infrastructure (dpi)|facilitation of digital governance|enables|8507704c71af4046b36f3348692ead0d||
digital identification systems|aadhaar programme|is based on|8507704c71af4046b36f3348692ead0d||
aadhaar programme|biometric and face authentication-based digital identification system|provides|8507704c71af4046b36f3348692ead0d||
aadhaar programme|india's approach to implementation|has facilitated|8507704c71af4046b36f3348692ead0d||
streamlining service delivery and eliminating duplication|aadhaar providing a single digital identity across multiple sectors|enables|8507704c71af4046b36f3348692ead0d||
interoperability across service delivery platforms|india's approach in implementing a centralised, secure, and inclusive identification system|has facilitated|8507704c71af4046b36f3348692ead0d||
unified payments interface (upi)|financial transactions in india|transforms|8507704c71af4046b36f3348692ead0d||
